id,event_type,latitude,longitude,event_cause,requires_road_closure,start_datetime,status,corridor,priority,created_date,police_station
FKID000000,unplanned,13.0400041,77.5180991,vehicle_breakdown,FALSE,2024-03-07 17:01:48.111+00,closed,Tumkur Road,High,2024-03-07 17:03:51.164032+00,Peenya
FKID000001,unplanned,12.9218755,77.6451585,vehicle_breakdown,FALSE,2024-01-30 04:07:24.173+00,resolved,ORR East 1,High,2024-01-30 04:08:22.954979+00,HSR Layout
FKID000002,unplanned,12.955622,77.5857083,others,FALSE,2023-11-11 06:18:03.343+00,closed,Non-corridor,Low,2023-11-11 06:20:00.989398+00,Wilson Garden
FKID000003,unplanned,13.0061469,77.5794348,tree_fall,TRUE,2024-03-07 17:56:55.061+00,closed,Non-corridor,Low,2024-03-07 17:58:56.696892+00,Sadashivanagar
FKID000004,unplanned,12.95398,77.5852333,vehicle_breakdown,FALSE,2024-01-30 04:56:32.348+00,closed,Non-corridor,Low,2024-01-30 04:58:55.937662+00,Wilson Garden
FKID000005,unplanned,13.0664854,77.5998755,accident,FALSE,2023-11-28 03:07:27.292421+00,closed,Non-corridor,Low,2023-11-28 03:08:23.242047+00,Hebbala
FKID000006,unplanned,12.9328703,77.4879814,vehicle_breakdown,FALSE,2024-01-30 07:26:26.739+00,closed,Non-corridor,Low,2024-01-30 07:28:18.053017+00,Kengeri
FKID000007,unplanned,12.973175,77.6003961,others,FALSE,2024-01-30 06:05:59.339+00,closed,Non-corridor,Low,2024-01-30 06:08:11.015846+00,Cubbon Park
FKID000008,planned,12.97883573,77.59953728,public_event,FALSE,2024-02-12 02:05:46+00,closed,CBD 2,High,2024-01-30 05:09:41.077868+00,Cubbon Park
FKID000009,unplanned,13.0373543,77.6540442,vehicle_breakdown,FALSE,2024-01-30 05:25:50.078+00,closed,Non-corridor,Low,2024-01-30 05:26:53.362158+00,Hennuru
FKID000010,unplanned,13.0008457,77.6813712,water_logging,FALSE,2024-03-07 18:01:40.182+00,closed,ORR East 2,High,2024-03-07 18:02:16.983926+00,K.R. Pura
FKID000011,unplanned,12.94457,77.5274017,vehicle_breakdown,FALSE,2024-01-30 05:21:06.975+00,closed,ORR West 1,High,2024-01-30 05:21:50.591304+00,Byatarayanapura
FKID000012,unplanned,12.9995223,77.6827499,water_logging,FALSE,2024-03-07 18:00:05.02+00,active,ORR East 2,High,2024-03-07 18:00:57.261528+00,Mahadevapura
