id,event_type,latitude,longitude,event_cause,requires_road_closure,start_datetime,status,corridor,priority,created_date,police_station,report_creation_delay_min,actual_duration_min,hour,day_of_week,month,is_weekend,event_type_encoded,priority_encoded,requires_road_closure_encoded
FKID000000,unplanned,13.0400041,77.5180991,vehicle_breakdown,False,2024-03-07 17:01:48.111000+00:00,closed,Tumkur Road,High,2024-03-07 17:03:51.164032+00:00,Peenya,2.0508838666666667,,17,3,3,0,0,3,0
FKID000001,unplanned,12.9218755,77.6451585,vehicle_breakdown,False,2024-01-30 04:07:24.173000+00:00,resolved,ORR East 1,High,2024-01-30 04:08:22.954979+00:00,HSR Layout,0.97969965,,4,1,1,0,0,3,0
FKID000002,unplanned,12.955622,77.5857083,others,False,2023-11-11 06:18:03.343000+00:00,closed,Non-corridor,Low,2023-11-11 06:20:00.989398+00:00,Wilson Garden,1.9607733,,6,5,11,1,0,1,0
FKID000003,unplanned,13.0061469,77.5794348,tree_fall,True,2024-03-07 17:56:55.061000+00:00,closed,Non-corridor,Low,2024-03-07 17:58:56.696892+00:00,Sadashivanagar,2.0272648666666666,,17,3,3,0,0,1,1
FKID000004,unplanned,12.95398,77.5852333,vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,closed,Non-corridor,Low,2024-01-30 04:58:55.937662+00:00,Wilson Garden,2.3931610333333335,,4,1,1,0,0,1,0
FKID000005,unplanned,13.0664854,77.5998755,accident,False,2023-11-28 03:07:27.292421+00:00,closed,Non-corridor,Low,2023-11-28 03:08:23.242047+00:00,Hebbala,0.9324937666666667,,3,1,11,0,0,1,0
FKID000006,unplanned,12.9328703,77.4879814,vehicle_breakdown,False,2024-01-30 07:26:26.739000+00:00,closed,Non-corridor,Low,2024-01-30 07:28:18.053017+00:00,Kengeri,1.8552336166666668,,7,1,1,0,0,1,0
FKID000007,unplanned,12.973175,77.6003961,others,False,2024-01-30 06:05:59.339000+00:00,closed,Non-corridor,Low,2024-01-30 06:08:11.015846+00:00,Cubbon Park,2.1946141000000003,,6,1,1,0,0,1,0
FKID000008,planned,12.97883573,77.59953728,public_event,False,2024-02-12 02:05:46+00:00,closed,CBD 2,High,2024-01-30 05:09:41.077868+00:00,Cubbon Park,,,2,0,2,0,1,3,0
FKID000009,unplanned,13.0373543,77.6540442,vehicle_breakdown,False,2024-01-30 05:25:50.078000+00:00,closed,Non-corridor,Low,2024-01-30 05:26:53.362158+00:00,Hennuru,1.0547359666666667,,5,1,1,0,0,1,0
FKID000010,unplanned,13.0008457,77.6813712,water_logging,False,2024-03-07 18:01:40.182000+00:00,closed,ORR East 2,High,2024-03-07 18:02:16.983926+00:00,K.R. Pura,0.6133654333333334,,18,3,3,0,0,3,0
FKID000011,unplanned,12.94457,77.5274017,vehicle_breakdown,False,2024-01-30 05:21:06.975000+00:00,closed,ORR West 1,High,2024-01-30 05:21:50.591304+00:00,Byatarayanapura,0.7269384,,5,1,1,0,0,3,0
FKID000012,unplanned,12.9995223,77.6827499,water_logging,False,2024-03-07 18:00:05.020000+00:00,active,ORR East 2,High,2024-03-07 18:00:57.261528+00:00,Mahadevapura,0.8706921333333334,,18,3,3,0,0,3,0
FKID000013,unplanned,13.0418933,77.594705,others,False,2023-12-26 19:15:28.124000+00:00,closed,ORR North 1,High,2023-12-26 19:16:09.549364+00:00,Hebbala,0.6904227333333334,,19,1,12,0,0,3,0
FKID000014,unplanned,12.975285,77.6256902,pot_holes,False,2024-03-07 19:26:15.604000+00:00,active,Old Madras Road,High,2024-03-07 19:28:21.681907+00:00,Halasur,2.10129845,,19,3,3,0,0,3,0
FKID000015,unplanned,13.0633917,77.5933483,others,False,2024-03-07 19:10:21.930000+00:00,active,Bellary Road 2,High,2024-03-07 19:11:02.983156+00:00,Kodigehalli,0.6842192666666667,,19,3,3,0,0,3,0
FKID000016,unplanned,13.063425,77.5933,others,False,2024-03-07 19:11:15.565000+00:00,active,Bellary Road 2,High,2024-03-07 19:11:57.171334+00:00,Kodigehalli,0.6934389,,19,3,3,0,0,3,0
FKID000017,unplanned,13.0254527,77.6417388,others,False,2024-03-07 19:18:29.890000+00:00,active,ORR North 1,High,2024-03-07 19:20:02.091296+00:00,Hennuru,1.5366882666666666,,19,3,3,0,0,3,0
FKID000018,unplanned,12.9233517,77.5904883,tree_fall,False,2024-03-07 19:39:29.764000+00:00,closed,Non-corridor,Low,2024-03-07 19:44:04.840279+00:00,Jayanagara,4.58460465,,19,3,3,0,0,1,0
FKID000019,unplanned,13.0001393,77.5840594,vehicle_breakdown,False,2024-01-30 04:49:17.231000+00:00,closed,Bellary Road 1,High,2024-01-30 04:51:12.899255+00:00,Sadashivanagar,1.92780425,,4,1,1,0,0,3,0
FKID000020,unplanned,12.9071221,77.6286395,vehicle_breakdown,False,2024-03-07 19:25:04.302000+00:00,closed,Hosur Road,High,2024-03-07 19:27:14.960257+00:00,Madiwala,2.1776376166666664,,19,3,3,0,0,3,0
FKID000021,unplanned,12.927375,77.5806883,tree_fall,True,2024-03-07 19:45:16.034000+00:00,closed,Non-corridor,Low,2024-03-07 19:47:58.459881+00:00,Jayanagara,2.707098016666667,,19,3,3,0,0,1,1
FKID000022,unplanned,12.9169074,77.5950955,pot_holes,False,2024-01-05 22:35:41.185000+00:00,closed,Non-corridor,Low,2024-01-05 22:36:57.627179+00:00,Jayanagara,1.2740363166666666,,22,4,1,0,0,1,0
FKID000023,unplanned,12.9667047,77.6615983,pot_holes,False,2024-01-30 08:32:47.117000+00:00,active,Unknown,Low,2024-01-30 08:33:47.540206+00:00,Jeevanbheemanagar,1.0070534333333334,,8,1,1,0,0,1,0
FKID000024,unplanned,12.8966387,77.7202071,water_logging,False,2024-03-07 19:55:24.461000+00:00,active,Non-corridor,Low,2024-03-07 19:59:11.246383+00:00,Whitefield,3.7797563833333334,,19,3,3,0,0,1,0
FKID000025,unplanned,12.9463911,77.597326,tree_fall,True,2024-03-07 06:09:19.361000+00:00,closed,Non-corridor,Low,2024-03-07 06:10:16.176379+00:00,Wilson Garden,0.9469229833333334,,6,3,3,0,0,1,1
FKID000026,unplanned,12.9856042,77.5977438,pot_holes,False,2024-01-30 08:35:04.399000+00:00,active,Unknown,High,2024-01-30 08:35:50.025285+00:00,Shivajinagar,0.7604380833333334,,8,1,1,0,0,3,0
FKID000027,unplanned,12.9077383,77.6005709,vehicle_breakdown,False,2024-01-30 08:12:47.138000+00:00,closed,Bannerghata Road,High,2024-01-30 08:14:16.420314+00:00,Mico Layout,1.4880385666666667,,8,1,1,0,0,3,0
FKID000028,unplanned,12.9635109,77.6642122,pot_holes,False,2024-01-30 08:25:57.212000+00:00,closed,Unknown,Low,2024-01-30 08:28:51.106311+00:00,HAL Old Airport,2.8982385166666664,,8,1,1,0,0,1,0
